ID,Symptom,Remedy (English),Remedy (Siddha Term),Primary Ingredients,Preparation Method,Dosage,Target Dosha
11,Fatigue after small work,Drink drumstick leaf soup,Murungaikeerai Kasayam,"Moringa leaves, Small onions, Garlic, Cumin, Pepper","Sauté spices, add a cup of moringa leaves and 2 cups of water, boil until reduced to half","One cup daily","Vatham, Kabham"
12,Irregular heartbeat,Take jaggery water in morning,Vellam Kasayam,"Jaggery, Water, Dry Ginger powder","Dissolve a small piece of jaggery in a glass of warm water. A pinch of dry ginger powder can be added","Every morning on an empty stomach","Vatham"
13,Difficulty in sleeping,Consume fenugreek seeds soaked in water,Vendhaya Kasayam,"Fenugreek seeds, Water","Soak 1 teaspoon of fenugreek seeds in a cup of water overnight. Strain and drink the water in the morning","Drink the water every morning","Kabham"
14,Weak immunity,Eat garlic with honey,Poondhu Madhu,"Garlic, Honey","Crush 1-2 cloves of garlic and mix with a teaspoon of honey","Consume every morning","Kabham, Vatham"
15,Frequent infections,Take gooseberry candy daily,Nelli Urundai,"Indian Gooseberry, Jaggery, Ginger powder","Amla candies are prepared by cooking amla in jaggery syrup with ginger","1-2 candies daily","Pitham, Kabham"
16,Pale lips,Drink curry leaves juice,Karuveppilai Kasayam,"Fresh curry leaves, Water","Grind a handful of fresh curry leaves with a little water, strain, and drink the juice","Every morning on an empty stomach","Pitham, Kabham"
17,Body pain,Drink ginger tea,Inji Kasayam,"Fresh Ginger, Water, Palm Jaggery","Boil a few slices of ginger in a cup of water for 5 minutes. Strain and add jaggery for taste","1-2 times daily","Vatham, Kabham"
18,Loss of appetite,Eat pineapple,Annasip Pazham,"Pineapple, Rock Salt, Pepper","Eat a slice of fresh pineapple sprinkled with a pinch of rock salt and pepper before meals","Before lunch","Kabham"
19,Inflamed tongue,Gargle with salt water,Lavana Kavalai,"Rock Salt, Warm Water","Dissolve 1/2 tsp of rock salt in a glass of warm water. Gargle with this solution","2-3 times a day after meals","Pitham, Kabham"
20,Numbness in limbs,Massage with warm sesame oil,Kai Kaal Abhyangam,"Sesame Oil, Camphor","Warm the oil slightly. Add a small piece of camphor and massage the limbs gently","Daily before bath","Vatham"
21,Feeling cold,Drink black pepper soup,Milagu Kasayam,"Black Pepper, Cumin, Water","Crush 1 tsp pepper and 1/2 tsp cumin. Boil in 2 cups of water until it reduces to one cup. Strain and drink","Once daily","Vatham, Kabham"
22,Slow healing wounds,Apply turmeric paste,Manjal Kalkandam,"Turmeric, Water or Coconut Oil","Make a thick paste using turmeric powder and a few drops of water or coconut oil. Apply on the affected area","Apply 2-3 times a day until healed","Pitham, Kabham"
23,Restless legs,Eat a banana before bed,Vazhaipazham,"Banana, Honey","Eat one ripe banana. Can be taken with a teaspoon of honey","Every night before sleep","Vatham, Pitham"
24,Ringing in ears,Put 2-3 drops of warm sesame oil in ear,Karnapooranam,"Sesame Oil, Garlic","Slightly warm pure sesame oil. Put 2-3 drops in each ear","2-3 times a week","Vatham"
25,Cravings for non-food items,Consult a Siddha doctor,Maruthuva Alosanai,"Consultation required","Consult a practitioner for proper diagnosis and treatment","As prescribed by doctor","General"
26,Frequent yawning,Drink sufficient water,Neer Tharanai,"Water","Drink at least 8-10 glasses of warm water throughout the day","Daily","Tridoshic"
27,Muscle weakness,Eat urad dal,Ulundhu Soop,"Black Gram, Ghee, Pepper","Cook dal into a soup or porridge with pepper and ghee","Consume with meals","Vatham"
28,Mood swings,Practice pranayama,Pranayamam,"None required","Practice deep breathing exercises like Nadi Shodhana for 15 minutes daily","Daily morning","Tridoshic"
29,Sore tongue,Chew on holy basil leaves,Thulsi Parru,"Holy Basil leaves","Chew 3-4 fresh Tulsi leaves","2-3 times a day","Pitham, Kabham"
30,Cracks in mouth,Eat papaya,Pappalip Pazham,"Ripe Papaya, Honey","Eat a bowl of ripe papaya. Can be drizzled with honey","Daily","Pitham"
31,Swelling in legs,Drink ragi porridge,Kechvaragu Kuzh,"Finger Millet, Buttermilk","Make a porridge using ragi flour and buttermilk","Once daily","Kabham"
32,Yellowish skin,Eat jaggery chikki,Vellam Urundai,"Jaggery, Ginger powder","Consume a small piece of jaggery with a pinch of dry ginger powder","Once daily","Pitham"
33,Chest tightness,Take drumstick leaves chutney,Murungai Thuvaiyal,"Moringa leaves, Coconut, Tamarind","Grind moringa leaves with grated coconut, tamarind, and salt into a chutney","1-2 tsp with meals","Vatham, Kabham"
34,Fast breathing,Eat gooseberry pickle,Nelli Oorukai,"Indian Gooseberry, Salt, Lemon","Consume a small piece of amla pickle as a side dish with meals","With meals","Pitham"
35,Cold intolerance,Drink mint tea,Pudhina Kasayam,"Mint leaves, Ginger, Pepper","Boil a handful of mint leaves with ginger and a pinch of pepper in water. Strain and drink","1-2 times daily","Kabham, Vatham"
36,Poor memory,Take curry leaves podi with rice,Karuveppilai Podi,"Curry leaves, Urad Dal, Red Chili, Salt","Dry roast curry leaves with dal and chilies. Grind into a powder. Mix with rice and ghee","1-2 tsp with meals","Vatham, Pitham"
37,Dull face,Eat pomegranate seeds,Maathulai Pazham,"Pomegranate seeds, Honey","Eat a bowl of fresh pomegranate seeds. Can be mixed with honey","Daily","Pitham"
38,Dry skin,Drink coriander leaf juice,Kothamalli Kasayam,"Coriander leaves, Water","Grind a handful of fresh coriander leaves with water. Strain and drink the juice","Every morning","Pitham"
39,Tingling hands,Eat groundnut chikki,Nilakkadhalai Urundai,"Groundnuts, Jaggery","Consume a small piece of groundnut and jaggery chikki","1-2 pieces daily","Vatham"
40,Rapid fatigue,Drink tulsi water,Thulsi Kasayam,"Holy Basil leaves, Water","Boil 8-10 Tulsi leaves in a cup of water for 5 minutes. Strain and drink","Once daily in the morning","Tridoshic"
41,Paleness in nails,Eat soaked dry dates,Perichchampazham Kasayam,"Dry Dates, Water","Soak 2-3 dry dates in water overnight. Eat them and drink the water in the morning","Daily","Vatham, Pitham"
42,Low stamina,Take black gram porridge,Ulundhu Kanji,"Black Gram, Rice, Ghee, Pepper","Cook urad dal and rice into a porridge. Add pepper and ghee for taste","A bowl for breakfast","Vatham"
43,Sweating easily,Eat guava fruit daily,Koyya Pazham,"Guava, Rock Salt","Eat one fresh guava sprinkled with a pinch of rock salt","Daily","Pitham, Kabham"
44,Back pain,Drink coconut water,Thengai Neer,"Tender Coconut Water","Drink the water from one tender coconut","3-4 times a week","Pitham"
45,Lightheadedness,Consume curry leaves rice,Karuveppilai Saadham,"Curry leaves, Rice, Mustard Seeds, Urad Dal","Temper cooked rice with mustard seeds, urad dal, and fresh curry leaves","Regularly with meals","Vatham, Pitham"
46,Hair thinning,Apply hibiscus powder pack for hair,Sembaruthi Kulambu,"Hibiscus powder, Yogurt/Water","Make a paste by mixing hibiscus flower powder with yogurt or water. Apply on hair and scalp","1-2 times a week","Pitham"
47,Poor focus,Eat lotus stem curry,Thaamarai Kilangu,"Lotus Stem, Buttermilk, Spices","Cook lotus stem in a gravy made with buttermilk and mild spices","With meals","Vatham, Pitham"
48,Leg cramps,Drink tender coconut water,Ilaneer,"Tender Coconut Water","Drink the water from one tender coconut","Daily, especially in summer","Pitham"
49,"Mouth ulcers, Body heat",Eat black nightshade keerai,Manathakkali Kulambu,"Manathakkali leaves, Lentils, Garlic","Cook lentils and sautéed Manathakkali leaves together into a soup. Add garlic for potency","A bowl daily","Pitham"
50,"General weakness, Low iron",Eat amaranth keerai poriyal,Araikeerai Poriyal,"Amaranth leaves, Coconut, Mustard seeds, Urad Dal","Stir-fry chopped Arai keerai with tempered mustard seeds, urad dal, and grated coconut","Regularly with meals","Tridoshic"
